Tair,tr,RH,vel,clo,Met,Âge,Sexe,Tout,Season,cooling type,Building_type,top,tg,PMV,SET,thermal_sensation,thermal_preference,Climate,Koppen climate classification,City,Country,TSV_3p
20.6,,68.9,0.04,1.08,2.0,48.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.6,,68.9,0.05,1.18,0.8,18.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.6,,68.9,0.05,0.9,1.6,17.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.4,,71.0,0.02,1.18,1.2,45.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.4,,71.0,0.02,1.08,2.0,40.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.4,,71.0,0.03,1.15,2.8,20.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.4,,71.0,0.02,1.48,1.2,17.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.4,,71.0,0.01,1.67,1.2,18.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.5,,63.8,0.01,1.7,2.4,52.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.5,,63.8,0.01,1.51,1.9,47.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.5,,63.8,0.02,1.44,1.0,23.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.5,,63.8,0.03,1.67,1.6,17.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.5,,63.8,0.01,1.11,2.4,14.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.7,,62.1,0.02,1.18,2.0,43.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.7,,62.1,0.02,1.15,1.2,67.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.7,,62.1,0.04,1.51,0.8,39.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.7,,62.1,0.02,1.73,2.4,18.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.7,,62.1,0.02,1.67,1.0,16.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.7,,62.1,0.05,1.15,1.2,14.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.5,,69.3,0.01,1.18,2.0,60.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.5,,69.3,0.01,1.08,0.8,53.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
18.8,,68.8,0.02,1.11,0.8,48.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,-1,1,Hot-summer Mediterranean,Csa,Ilam,Iran,-1
18.8,,68.8,0.02,1.08,2.0,42.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,-1,1,Hot-summer Mediterranean,Csa,Ilam,Iran,-1
18.8,,68.8,0.03,1.73,1.6,29.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
18.8,,68.8,0.02,1.18,1.0,21.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.6,,59.9,0.01,1.18,1.0,42.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.6,,59.9,0.0,0.95,1.6,35.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.6,,59.9,0.01,1.15,0.8,20.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.7,,57.7,0.0,1.41,1.2,25.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.7,,57.7,0.03,1.73,1.0,35.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.7,,57.7,0.03,1.75,1.2,24.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.7,,57.7,0.05,1.76,1.9,21.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.7,,57.7,0.0,1.11,2.0,10.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.8,,51.0,0.01,0.9,1.6,81.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.8,,51.0,0.03,1.15,1.6,75.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.8,,51.0,0.03,1.11,0.8,62.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.8,,51.0,0.01,1.08,1.0,60.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.8,,51.0,0.02,1.41,1.6,51.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.8,,51.0,0.01,1.18,1.2,42.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.8,,51.0,0.03,1.7,1.2,37.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.8,,51.0,0.04,1.67,1.0,14.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.8,,51.0,0.01,1.11,2.0,16.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.8,,51.0,0.05,1.08,1.2,25.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.9,,42.5,0.02,1.18,1.6,65.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.9,,42.5,0.02,1.15,1.2,54.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.9,,42.5,0.02,1.11,2.0,38.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.9,,42.5,0.02,1.08,1.6,32.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.9,,44.4,0.06,1.67,1.6,55.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.9,,44.4,0.08,1.15,0.8,23.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.9,,44.4,0.09,0.9,1.0,21.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.9,,44.4,0.1,1.11,1.6,17.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.0,,62.1,0.02,1.67,1.2,58.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.0,,62.1,0.02,1.48,1.2,50.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.0,,62.1,0.03,1.44,1.0,28.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.0,,62.1,0.02,1.75,2.0,24.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.0,,62.1,0.02,1.48,1.2,20.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.0,,60.7,0.01,1.15,1.6,48.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.0,,60.7,0.01,0.9,1.2,38.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.0,,60.7,0.05,1.15,0.8,26.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.0,,60.7,0.04,1.11,0.8,39.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.0,,60.7,0.03,1.51,1.0,21.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.3,,62.4,0.01,1.67,1.2,45.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.3,,62.4,0.02,1.15,1.9,13.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.3,,62.4,0.03,1.48,1.9,35.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
17.0,,57.7,0.0,1.73,1.2,37.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,-2,1,Hot-summer Mediterranean,Csa,Ilam,Iran,-1
17.0,,57.7,0.01,1.78,1.2,29.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,-2,1,Hot-summer Mediterranean,Csa,Ilam,Iran,-1
18.7,,64.0,0.03,2.0,1.6,66.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,-1,1,Hot-summer Mediterranean,Csa,Ilam,Iran,-1
18.7,,64.0,0.0,1.75,1.9,58.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,-1,1,Hot-summer Mediterranean,Csa,Ilam,Iran,-1
18.7,,64.0,0.02,1.97,1.2,47.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,-1,1,Hot-summer Mediterranean,Csa,Ilam,Iran,-1
18.7,,64.0,0.03,1.75,2.0,42.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
18.7,,64.0,0.0,2.0,2.0,24.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,-1,1,Hot-summer Mediterranean,Csa,Ilam,Iran,-1
19.7,,62.8,0.05,1.7,0.8,69.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.7,,62.8,0.04,1.75,2.4,64.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.7,,62.8,0.01,1.67,1.0,60.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.7,,62.8,0.01,1.18,1.9,58.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.2,,63.3,0.04,1.7,2.4,16.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.2,,63.3,0.04,1.67,1.9,13.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.2,,63.3,0.09,1.11,2.4,11.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.2,,63.3,0.08,1.08,0.8,10.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.7,,65.8,0.02,1.73,1.0,39.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.7,,65.8,0.02,1.18,1.0,36.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,1,1,Hot-summer Mediterranean,Csa,Ilam,Iran,1
20.7,,65.8,0.02,1.18,1.2,15.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.7,,65.8,0.02,1.48,2.0,27.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.7,,65.8,0.02,1.51,1.2,32.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.0,,67.2,0.05,1.15,1.2,62.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,1,1,Hot-summer Mediterranean,Csa,Ilam,Iran,1
21.0,,67.2,0.05,0.9,1.2,32.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.0,,67.2,0.08,1.67,0.8,28.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.0,,67.2,0.05,1.75,1.0,23.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.3,,68.2,0.02,1.18,1.2,42.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.3,,68.2,0.02,1.78,2.4,29.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.3,,68.2,0.06,1.78,2.0,12.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,-1,1,Hot-summer Mediterranean,Csa,Ilam,Iran,-1
20.9,,69.4,0.08,1.67,1.9,25.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.9,,69.4,0.04,1.75,1.6,17.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.9,,69.4,0.03,1.44,1.2,14.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.0,,68.0,0.0,1.15,1.6,29.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,1,0,Hot-summer Mediterranean,Csa,Ilam,Iran,1
21.0,,68.0,0.02,1.18,1.2,22.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.0,,68.0,0.06,1.41,1.0,24.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.5,,64.4,0.05,1.7,1.0,81.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.5,,64.4,0.0,1.15,0.8,68.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,-1,1,Hot-summer Mediterranean,Csa,Ilam,Iran,-1
19.5,,64.4,0.02,1.18,0.8,73.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
18.7,,66.5,0.01,1.67,1.2,65.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,-1,1,Hot-summer Mediterranean,Csa,Ilam,Iran,-1
18.7,,66.5,0.01,1.48,2.4,60.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
18.7,,66.5,0.05,1.48,1.2,41.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
18.7,,66.5,0.01,1.51,1.6,31.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
18.7,,66.5,0.01,1.7,1.2,36.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.1,,65.0,0.03,1.15,2.0,67.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.1,,65.0,0.05,1.75,1.0,56.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
19.1,,65.0,0.03,1.78,1.0,52.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,-1,1,Hot-summer Mediterranean,Csa,Ilam,Iran,-1
21.1,,66.3,0.02,1.18,1.2,17.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.1,,66.3,0.03,1.15,1.2,15.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,1,0,Hot-summer Mediterranean,Csa,Ilam,Iran,1
21.1,,66.3,0.03,1.41,0.8,14.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.1,,66.3,0.03,1.41,1.9,27.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.1,,66.3,0.05,1.41,0.8,31.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.2,,61.9,0.06,1.18,1.9,45.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.2,,61.9,0.05,1.5,1.0,40.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.2,,61.9,0.05,0.9,1.6,21.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.2,,61.9,0.03,0.9,2.0,17.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.2,,61.9,0.07,1.08,1.0,38.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,1,0,Hot-summer Mediterranean,Csa,Ilam,Iran,1
20.9,,64.7,0.01,1.18,1.2,65.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.9,,64.7,0.01,1.15,1.2,27.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.9,,64.7,0.02,1.08,1.2,21.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
23.0,,65.0,0.03,0.9,0.8,69.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,1,0,Hot-summer Mediterranean,Csa,Ilam,Iran,1
23.0,,65.0,0.03,0.9,0.8,67.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,-1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
23.0,,65.0,0.04,0.9,1.2,48.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
23.0,,65.0,0.05,0.93,1.6,36.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,1,0,Hot-summer Mediterranean,Csa,Ilam,Iran,1
23.0,,65.0,0.02,1.51,1.9,24.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,1,-1,Hot-summer Mediterranean,Csa,Ilam,Iran,1
21.7,,56.5,0.05,1.18,0.8,67.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.7,,56.5,0.05,1.48,2.4,49.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.7,,56.5,0.03,1.41,1.0,54.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
